,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,restaurant,item
0,380,60,7,2.0,0.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0,Mcdonalds,Artisan Grilled Chicken Sandwich
1,840,410,45,17.0,1.5,130,1580,62,2.0,18,46.0,6.0,20.0,20.0,Mcdonalds,Single Bacon Smokehouse Burger
2,1130,600,67,27.0,3.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0,Mcdonalds,Double Bacon Smokehouse Burger
3,750,280,31,10.0,0.5,155,1940,62,2.0,18,55.0,6.0,25.0,20.0,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich
4,920,410,45,12.0,0.5,120,1980,81,4.0,18,46.0,6.0,20.0,20.0,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich
5,540,250,28,10.0,1.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0,Mcdonalds,Big Mac
6,300,100,12,5.0,0.5,40,680,33,2.0,7,15.0,10.0,2.0,10.0,Mcdonalds,Cheeseburger
7,510,210,24,4.0,0.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0,Mcdonalds,Classic Chicken Sandwich
8,430,190,21,11.0,1.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0,Mcdonalds,Double Cheeseburger
9,770,400,45,21.0,2.5,175,1290,42,3.0,10,51.0,20.0,6.0,20.0,Mcdonalds,Double Quarter Pounder® with Cheese
10,380,170,18,4.0,0.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0,Mcdonalds,Filet-O-Fish®
11,620,300,34,13.0,1.5,95,790,48,3.0,11,32.0,10.0,10.0,35.0,Mcdonalds,Garlic White Cheddar Burger
12,530,180,20,7.0,0.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich
13,700,300,34,9.0,0.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich
